CallID,Timestamp,X,Y,IncidentType,Severity,ResponseUnit
37,2025-09-16 19:35:38,74,55,Traffic Accident,Low,Ambulance
38,2025-03-14 18:49:14,97,69,Traffic Accident,Low,Police
39,2025-03-25 06:46:01,72,58,Traffic Accident,Critical,Fire Truck
40,2025-01-10 01:51:37,58,35,Traffic Accident,Moderate,Ambulance
41,2025-01-03 22:08:47,95,70,Traffic Accident,Moderate,Ambulance
42,2025-09-13 13:19:24,81,0,Medical Emergency,Low,Ambulance
43,2025-06-19 09:49:24,30,93,Medical Emergency,Moderate,Ambulance
44,2025-01-26 09:34:47,59,1,Other,Low,Fire Truck
45,2025-06-08 18:21:35,31,8,Traffic Accident,Low,Police
46,2025-07-08 21:13:01,19,23,Fire,Low,Police
47,2025-07-26 22:13:58,71,35,Medical Emergency,Moderate,Ambulance
48,2025-05-20 01:48:53,88,98,Other,Moderate,Ambulance
49,2025-06-28 02:47:55,65,53,Fire,Low,Ambulance
50,2025-09-09 04:41:19,67,32,Fire,Critical,Ambulance
51,2025-09-04 15:12:34,7,6,Medical Emergency,Moderate,Fire Truck
52,2025-03-22 04:22:35,58,85,Traffic Accident,Moderate,Mixed
53,2025-05-22 14:38:47,50,53,Other,Moderate,Ambulance
54,2025-05-21 03:47:20,96,27,Medical Emergency,Low,Ambulance
55,2025-01-15 14:45:50,47,18,Fire,Low,Ambulance
56,2025-09-06 10:40:35,43,91,Fire,Moderate,Police
57,2025-07-01 02:31:16,36,23,Traffic Accident,Moderate,Fire Truck
58,2025-06-21 11:48:41,59,96,Traffic Accident,Moderate,Ambulance
59,2025-07-11 22:57:19,32,66,Traffic Accident,Moderate,Mixed
60,2025-01-21 22:52:01,57,66,Fire,Critical,Fire Truck
61,2025-02-22 17:56:36,85,22,Traffic Accident,Moderate,Police
62,2025-07-07 23:06:18,16,32,Traffic Accident,Low,Fire Truck
63,2025-05-06 12:55:31,41,25,Medical Emergency,Low,Mixed
64,2025-01-22 12:52:54,6,56,Medical Emergency,Critical,Ambulance
65,2025-09-22 06:35:55,15,13,Medical Emergency,Moderate,Ambulance
66,2025-09-11 03:34:23,65,31,Fire,Critical,Ambulance
67,2025-01-24 10:56:06,62,61,Traffic Accident,Moderate,Ambulance
68,2025-01-01 11:09:34,51,41,Medical Emergency,Moderate,Ambulance
69,2025-01-19 01:05:51,96,7,Medical Emergency,Moderate,Fire Truck
70,2025-05-18 10:50:20,67,5,Traffic Accident,Moderate,Fire Truck
71,2025-05-25 11:30:59,54,39,Medical Emergency,Low,Fire Truck
72,2025-09-06 11:35:50,29,18,Medical Emergency,Moderate,Ambulance
73,2025-01-26 04:58:32,54,89,Traffic Accident,Low,Police
74,2025-04-12 06:37:03,8,11,Fire,Critical,Ambulance
75,2025-05-05 10:18:43,33,95,Fire,Low,Fire Truck
76,2025-07-12 14:46:26,0,15,Fire,Moderate,Ambulance
77,2025-08-11 03:03:25,92,66,Traffic Accident,Moderate,Police
78,2025-09-02 20:05:35,56,28,Traffic Accident,Critical,Ambulance
79,2025-05-13 15:29:16,61,68,Fire,Critical,Ambulance
80,2025-08-18 09:08:44,38,99,Traffic Accident,Moderate,Ambulance
81,2025-09-05 20:24:54,9,68,Medical Emergency,Moderate,Ambulance
82,2025-06-25 22:47:53,18,57,Fire,Moderate,Fire Truck
83,2025-03-01 20:16:56,15,23,Other,Low,Police
84,2025-01-02 17:30:10,31,90,Medical Emergency,Moderate,Fire Truck
85,2025-01-06 02:08:30,32,32,Medical Emergency,Low,Fire Truck
86,2025-09-05 07:24:23,64,32,Medical Emergency,Moderate,Ambulance
87,2025-03-07 03:44:22,11,94,Traffic Accident,Critical,Fire Truck
88,2025-01-11 18:32:12,86,80,Medical Emergency,Moderate,Fire Truck
89,2025-09-28 15:36:41,33,6,Traffic Accident,Moderate,Fire Truck
90,2025-04-16 03:14:53,28,35,Fire,Low,Fire Truck
91,2025-03-04 21:03:59,72,23,Medical Emergency,Low,Ambulance
92,2025-02-15 09:17:34,81,95,Traffic Accident,Low,Police
93,2025-08-15 02:24:11,54,12,Medical Emergency,Moderate,Ambulance
94,2025-03-16 15:02:28,61,83,Medical Emergency,Moderate,Police
95,2025-03-21 01:29:06,48,99,Traffic Accident,Low,Ambulance
96,2025-09-27 13:15:49,70,27,Other,Low,Fire Truck
97,2025-02-21 14:44:53,15,68,Traffic Accident,Moderate,Fire Truck
98,2025-04-05 09:08:30,99,52,Medical Emergency,Low,Ambulance
99,2025-09-16 08:45:09,41,57,Traffic Accident,Moderate,Ambulance
100,2025-04-01 15:11:57,86,92,Traffic Accident,Critical,Ambulance
101,2025-04-20 10:35:54,73,57,Medical Emergency,Critical,Ambulance
102,2025-09-05 11:34:04,12,39,Traffic Accident,Low,Police
103,2025-05-29 06:57:37,4,28,Traffic Accident,Low,Ambulance
104,2025-08-02 13:53:36,64,85,Medical Emergency,Low,Mixed
105,2025-04-21 23:52:55,3,35,Traffic Accident,Critical,Police
106,2025-03-06 13:54:44,53,38,Fire,Low,Ambulance
107,2025-07-09 23:42:14,66,44,Traffic Accident,Moderate,Ambulance
108,2025-07-11 05:49:33,91,71,Traffic Accident,Moderate,Police
109,2025-09-12 08:48:08,76,91,Other,Moderate,Ambulance
110,2025-08-02 00:12:15,55,32,Traffic Accident,Low,Ambulance
111,2025-04-13 14:55:58,31,44,Traffic Accident,Low,Fire Truck
112,2025-04-04 05:38:43,74,35,Fire,Low,Fire Truck
113,2025-06-01 01:19:45,48,13,Traffic Accident,Low,Fire Truck
114,2025-06-02 03:47:50,2,15,Medical Emergency,Low,Mixed
115,2025-08-19 17:19:34,15,71,Traffic Accident,Critical,Ambulance
116,2025-08-19 21:23:32,91,35,Fire,Moderate,Fire Truck
117,2025-09-20 02:54:54,91,40,Traffic Accident,Moderate,Ambulance
118,2025-04-20 12:44:36,72,32,Fire,Moderate,Ambulance
119,2025-03-10 14:13:06,12,45,Traffic Accident,Low,Ambulance
120,2025-08-06 22:53:07,68,46,Other,Critical,Police
121,2025-02-22 19:51:39,4,32,Medical Emergency,Moderate,Mixed
122,2025-05-10 16:17:54,10,84,Medical Emergency,Moderate,Police
123,2025-09-20 19:45:16,48,76,Traffic Accident,Critical,Ambulance
124,2025-02-17 13:01:06,20,54,Medical Emergency,Low,Mixed
125,2025-09-01 08:48:07,2,52,Fire,Low,Police
126,2025-03-18 19:16:10,82,16,Traffic Accident,Moderate,Ambulance
127,2025-05-02 03:44:49,44,76,Traffic Accident,Low,Police
128,2025-09-27 12:11:23,33,91,Traffic Accident,Critical,Ambulance
129,2025-01-25 13:54:12,53,2,Fire,Low,Fire Truck
130,2025-03-18 05:28:11,4,93,Medical Emergency,Moderate,Ambulance
131,2025-01-17 19:02:34,46,22,Medical Emergency,Moderate,Police
132,2025-08-30 05:07:18,50,37,Medical Emergency,Low,Fire Truck
133,2025-06-27 15:53:15,81,29,Fire,Critical,Police
134,2025-02-05 21:40:23,37,96,Medical Emergency,Moderate,Fire Truck
135,2025-01-03 11:57:42,50,80,Other,Critical,Mixed
136,2025-03-17 16:47:54,73,16,Traffic Accident,Moderate,Mixed
137,2025-03-16 07:21:07,52,65,Traffic Accident,Moderate,Ambulance
138,2025-06-24 21:07:51,22,54,Fire,Moderate,Fire Truck
139,2025-04-14 09:36:34,3,3,Traffic Accident,Low,Ambulance
140,2025-06-30 19:13:47,92,31,Traffic Accident,Critical,Ambulance
141,2025-02-13 12:36:53,4,81,Traffic Accident,Critical,Ambulance
142,2025-04-24 08:01:19,0,4,Fire,Moderate,Ambulance
143,2025-07-29 23:29:19,77,89,Medical Emergency,Critical,Police
144,2025-01-19 21:22:09,85,55,Medical Emergency,Low,Ambulance
145,2025-07-12 17:10:19,25,35,Medical Emergency,Low,Ambulance
146,2025-08-04 04:08:25,78,46,Traffic Accident,Moderate,Fire Truck
147,2025-01-08 10:01:03,86,77,Fire,Low,Ambulance
148,2025-09-23 07:10:12,55,6,Medical Emergency,Low,Police
149,2025-07-10 13:32:23,17,37,Fire,Moderate,Ambulance
150,2025-08-31 08:02:36,27,73,Fire,Low,Ambulance
151,2025-09-14 15:09:56,43,24,Medical Emergency,Moderate,Fire Truck
152,2025-04-06 10:56:47,66,17,Traffic Accident,Moderate,Fire Truck
153,2025-01-25 11:21:48,7,39,Fire,Critical,Ambulance
154,2025-01-29 10:31:19,5,51,Medical Emergency,Moderate,Ambulance
155,2025-01-11 14:22:13,69,32,Traffic Accident,Moderate,Ambulance
156,2025-07-03 17:24:14,3,93,Traffic Accident,Moderate,Ambulance
157,2025-08-09 16:10:47,54,8,Traffic Accident,Moderate,Ambulance
158,2025-01-27 14:19:03,35,23,Traffic Accident,Moderate,Mixed
159,2025-03-23 12:15:41,3,78,Medical Emergency,Moderate,Ambulance
160,2025-07-24 21:57:57,50,61,Other,Moderate,Fire Truck
161,2025-07-30 19:57:25,50,44,Medical Emergency,Critical,Ambulance
162,2025-07-08 05:29:45,18,83,Fire,Moderate,Ambulance
163,2025-08-29 10:55:34,89,13,Traffic Accident,Moderate,Ambulance
164,2025-09-01 12:21:55,99,76,Fire,Critical,Ambulance
165,2025-01-11 13:45:27,9,4,Traffic Accident,Low,Ambulance
166,2025-03-12 04:43:17,1,83,Traffic Accident,Moderate,Police
167,2025-01-16 15:37:10,74,14,Fire,Moderate,Ambulance
168,2025-01-19 11:34:55,48,68,Medical Emergency,Low,Ambulance
169,2025-04-08 21:03:25,74,8,Traffic Accident,Moderate,Mixed
170,2025-06-15 07:30:41,63,21,Traffic Accident,Low,Police
171,2025-02-24 01:41:11,13,59,Traffic Accident,Critical,Police
172,2025-01-30 02:01:50,77,25,Other,Moderate,Fire Truck
173,2025-02-03 05:00:39,17,39,Fire,Low,Police
174,2025-06-05 18:38:24,37,96,Medical Emergency,Moderate,Ambulance
175,2025-08-18 02:39:14,96,65,Fire,Low,Fire Truck
176,2025-07-02 20:29:05,50,69,Other,Moderate,Ambulance
177,2025-04-22 05:43:01,63,14,Medical Emergency,Moderate,Police
178,2025-09-13 14:46:17,26,35,Other,Low,Police
179,2025-01-07 20:24:17,26,54,Traffic Accident,Moderate,Police
180,2025-06-09 09:55:57,4,73,Traffic Accident,Low,Ambulance
181,2025-06-19 16:53:58,99,87,Medical Emergency,Moderate,Fire Truck
182,2025-03-13 01:56:32,28,46,Fire,Low,Ambulance
183,2025-07-21 01:55:14,35,35,Medical Emergency,Moderate,Police
184,2025-05-20 13:05:09,73,37,Traffic Accident,Moderate,Ambulance
185,2025-08-15 23:05:54,11,89,Fire,Moderate,Fire Truck
186,2025-02-21 20:30:02,59,42,Other,Moderate,Fire Truck
187,2025-06-14 00:48:03,36,71,Medical Emergency,Low,Ambulance
188,2025-02-04 01:21:26,8,50,Medical Emergency,Low,Mixed
189,2025-08-04 15:57:32,22,0,Traffic Accident,Low,Police
190,2025-02-25 01:45:55,53,86,Other,Low,Fire Truck
191,2025-03-30 22:08:52,39,14,Traffic Accident,Critical,Ambulance
192,2025-07-03 06:25:16,51,56,Traffic Accident,Moderate,Ambulance
193,2025-08-24 21:57:46,24,89,Other,Moderate,Ambulance
194,2025-04-02 11:13:41,33,90,Fire,Moderate,Ambulance
195,2025-09-21 17:54:40,50,53,Traffic Accident,Moderate,Ambulance
196,2025-07-24 04:39:12,87,32,Traffic Accident,Moderate,Fire Truck
197,2025-02-01 03:18:46,27,84,Fire,Low,Ambulance
198,2025-02-05 03:25:11,19,85,Traffic Accident,Low,Fire Truck
199,2025-07-25 03:44:22,0,95,Traffic Accident,Low,Ambulance
200,2025-05-21 12:22:57,82,61,Traffic Accident,Critical,Ambulance
201,2025-04-08 17:07:28,29,15,Fire,Critical,Police
202,2025-08-27 11:16:06,46,65,Fire,Moderate,Ambulance
203,2025-06-02 06:50:51,50,62,Traffic Accident,Moderate,Ambulance
204,2025-03-27 14:01:20,2,31,Traffic Accident,Low,Fire Truck
205,2025-08-19 10:43:09,96,86,Other,Low,Police
206,2025-07-03 09:35:31,7,64,Fire,Moderate,Ambulance
207,2025-03-25 22:21:48,71,53,Traffic Accident,Moderate,Police
208,2025-07-30 06:37:41,91,7,Traffic Accident,Moderate,Police
209,2025-03-25 16:28:40,45,15,Traffic Accident,Moderate,Ambulance
210,2025-09-29 10:42:57,94,54,Medical Emergency,Critical,Ambulance
211,2025-01-16 00:35:21,22,84,Traffic Accident,Critical,Fire Truck
212,2025-05-22 00:30:34,59,81,Medical Emergency,Low,Ambulance
213,2025-05-12 01:02:18,1,66,Fire,Moderate,Fire Truck
214,2025-02-05 09:33:47,37,93,Traffic Accident,Low,Ambulance
215,2025-06-27 19:09:53,85,23,Traffic Accident,Moderate,Mixed
216,2025-01-12 04:49:01,86,95,Fire,Critical,Ambulance
217,2025-05-29 00:52:52,39,65,Medical Emergency,Moderate,Ambulance
218,2025-08-10 21:31:44,3,25,Fire,Critical,Ambulance
219,2025-07-22 01:38:08,74,69,Other,Critical,Fire Truck
220,2025-09-02 17:53:31,37,33,Fire,Moderate,Police
221,2025-04-25 15:59:41,86,85,Traffic Accident,Low,Police
222,2025-01-29 22:18:29,39,97,Medical Emergency,Moderate,Ambulance
223,2025-05-07 07:47:45,44,16,Fire,Moderate,Fire Truck
224,2025-05-02 03:00:59,63,1,Traffic Accident,Low,Ambulance
225,2025-04-14 01:19:48,35,25,Traffic Accident,Low,Ambulance
226,2025-02-27 22:57:22,35,58,Traffic Accident,Moderate,Ambulance
227,2025-06-04 13:18:53,23,21,Medical Emergency,Moderate,Ambulance
228,2025-02-13 03:14:07,19,82,Fire,Critical,Ambulance
229,2025-08-01 10:33:25,97,72,Medical Emergency,Critical,Ambulance
230,2025-03-25 15:21:23,16,0,Fire,Moderate,Ambulance
231,2025-03-31 20:20:31,38,34,Medical Emergency,Low,Fire Truck
232,2025-09-06 17:05:37,93,97,Traffic Accident,Moderate,Police
233,2025-02-21 19:17:27,48,60,Medical Emergency,Moderate,Fire Truck
234,2025-08-21 23:04:24,11,61,Other,Low,Fire Truck
235,2025-07-01 19:55:00,80,86,Medical Emergency,Moderate,Mixed
236,2025-01-28 22:39:54,81,88,Medical Emergency,Moderate,Ambulance
237,2025-03-05 15:13:29,25,46,Traffic Accident,Moderate,Mixed
238,2025-05-28 11:26:33,25,84,Fire,Moderate,Ambulance
239,2025-09-05 15:30:00,6,8,Traffic Accident,Critical,Ambulance
240,2025-09-11 03:05:12,92,81,Medical Emergency,Critical,Ambulance
241,2025-09-10 10:39:50,58,16,Medical Emergency,Moderate,Fire Truck
242,2025-09-21 08:13:38,44,97,Medical Emergency,Moderate,Ambulance
243,2025-09-19 12:09:09,86,38,Traffic Accident,Moderate,Police
244,2025-01-10 10:23:39,24,12,Medical Emergency,Low,Fire Truck
245,2025-04-25 12:12:27,65,54,Fire,Low,Ambulance
246,2025-03-03 15:09:13,12,12,Traffic Accident,Low,Ambulance
247,2025-06-01 18:56:28,45,28,Medical Emergency,Moderate,Ambulance
248,2025-09-30 00:45:52,56,15,Medical Emergency,Low,Police
249,2025-09-19 05:24:46,24,83,Medical Emergency,Moderate,Ambulance
250,2025-02-26 14:07:50,13,29,Medical Emergency,Low,Fire Truck
251,2025-08-14 10:59:53,47,64,Other,Critical,Ambulance
252,2025-02-06 11:24:34,87,67,Traffic Accident,Low,Police
253,2025-05-26 17:42:05,42,69,Other,Low,Fire Truck
254,2025-03-22 23:28:44,61,76,Other,Low,Ambulance
255,2025-04-27 04:05:45,71,19,Medical Emergency,Moderate,Police
256,2025-09-25 16:09:22,73,97,Traffic Accident,Critical,Mixed
257,2025-04-14 09:57:50,5,4,Traffic Accident,Low,Police
258,2025-04-20 07:24:57,98,19,Other,Critical,Ambulance
259,2025-08-17 15:07:35,49,81,Medical Emergency,Critical,Police
260,2025-02-12 00:56:08,12,88,Fire,Moderate,Ambulance
261,2025-06-03 17:32:51,55,66,Traffic Accident,Moderate,Ambulance
262,2025-09-21 21:25:48,97,75,Traffic Accident,Moderate,Mixed
263,2025-02-04 20:35:54,10,58,Traffic Accident,Moderate,Ambulance
264,2025-07-07 10:31:53,4,47,Fire,Critical,Ambulance
265,2025-07-28 11:31:20,76,27,Traffic Accident,Low,Ambulance
266,2025-06-20 19:46:28,95,61,Fire,Low,Ambulance
267,2025-07-12 12:17:23,97,39,Fire,Moderate,Police
268,2025-06-18 01:46:11,18,79,Medical Emergency,Low,Police
269,2025-09-28 12:48:40,40,12,Medical Emergency,Moderate,Fire Truck
270,2025-07-31 23:21:22,62,26,Medical Emergency,Critical,Police
271,2025-06-21 05:50:20,57,30,Medical Emergency,Critical,Ambulance
272,2025-05-01 22:11:04,29,38,Traffic Accident,Low,Police
273,2025-05-19 11:48:32,92,11,Traffic Accident,Moderate,Fire Truck
274,2025-04-15 06:30:58,16,94,Traffic Accident,Critical,Police
275,2025-02-04 03:54:15,69,82,Medical Emergency,Moderate,Mixed
276,2025-04-06 20:45:30,62,27,Medical Emergency,Low,Ambulance
277,2025-06-21 21:10:49,67,19,Medical Emergency,Critical,Ambulance
278,2025-03-13 07:40:33,16,11,Traffic Accident,Moderate,Ambulance
279,2025-09-08 03:25:42,89,81,Medical Emergency,Low,Mixed
280,2025-06-25 10:58:39,35,98,Fire,Moderate,Ambulance
281,2025-07-14 22:41:06,32,5,Traffic Accident,Low,Ambulance
282,2025-01-21 04:58:23,86,25,Traffic Accident,Moderate,Mixed
283,2025-08-18 23:18:23,98,12,Medical Emergency,Moderate,Police
284,2025-04-24 13:46:13,74,31,Traffic Accident,Moderate,Fire Truck
285,2025-02-28 19:10:21,26,66,Other,Critical,Ambulance
286,2025-06-10 03:53:37,20,46,Fire,Moderate,Ambulance
287,2025-01-17 08:21:18,56,68,Other,Moderate,Police
288,2025-09-07 17:59:16,14,33,Traffic Accident,Critical,Fire Truck
289,2025-08-10 19:50:31,11,17,Medical Emergency,Moderate,Mixed
290,2025-03-24 18:53:10,45,88,Medical Emergency,Low,Police
291,2025-05-16 07:35:18,45,49,Medical Emergency,Moderate,Ambulance
292,2025-05-06 20:40:18,52,23,Other,Moderate,Police
293,2025-02-26 09:13:55,24,93,Traffic Accident,Critical,Fire Truck
294,2025-09-01 02:16:48,99,8,Traffic Accident,Moderate,Ambulance
295,2025-03-03 18:11:36,1,87,Fire,Low,Ambulance
296,2025-04-03 19:11:31,20,17,Medical Emergency,Moderate,Mixed
297,2025-09-29 23:32:13,37,31,Medical Emergency,Low,Mixed
298,2025-08-30 11:56:40,40,7,Medical Emergency,Low,Ambulance
299,2025-07-28 01:38:26,75,45,Traffic Accident,Moderate,Fire Truck
300,2025-02-09 12:25:49,19,32,Fire,Critical,Ambulance
301,2025-01-25 19:41:39,1,96,Traffic Accident,Moderate,Ambulance
302,2025-04-03 22:39:08,25,21,Traffic Accident,Low,Ambulance
303,2025-03-04 10:30:35,14,97,Traffic Accident,Moderate,Mixed
304,2025-02-06 10:03:43,60,66,Medical Emergency,Moderate,Fire Truck
305,2025-04-09 09:42:04,94,31,Traffic Accident,Low,Mixed
306,2025-05-24 19:37:00,91,61,Medical Emergency,Moderate,Ambulance
307,2025-09-14 09:26:58,74,83,Fire,Moderate,Police
308,2025-04-25 13:31:53,2,40,Traffic Accident,Moderate,Police
309,2025-07-17 03:50:28,11,86,Medical Emergency,Moderate,Fire Truck
310,2025-02-25 06:19:20,18,54,Fire,Low,Police
311,2025-04-25 20:26:06,52,54,Traffic Accident,Critical,Ambulance
312,2025-06-05 01:09:05,82,21,Traffic Accident,Moderate,Ambulance
313,2025-02-04 17:54:20,27,73,Fire,Moderate,Ambulance
314,2025-05-11 17:17:31,78,96,Medical Emergency,Critical,Mixed
315,2025-04-28 14:45:29,57,60,Medical Emergency,Moderate,Police
316,2025-02-17 01:29:46,19,59,Traffic Accident,Low,Fire Truck
317,2025-07-18 19:04:44,35,97,Fire,Low,Mixed
318,2025-03-14 12:12:41,5,38,Traffic Accident,Moderate,Mixed
319,2025-03-13 06:49:33,11,2,Medical Emergency,Moderate,Police
320,2025-01-23 10:01:32,98,25,Medical Emergency,Low,Ambulance
321,2025-01-18 17:58:34,43,13,Other,Critical,Police
322,2025-03-02 06:52:49,40,61,Traffic Accident,Moderate,Fire Truck
323,2025-04-01 03:40:32,88,83,Fire,Critical,Ambulance
324,2025-06-17 09:36:00,27,65,Medical Emergency,Critical,Fire Truck
325,2025-05-06 21:41:47,75,55,Traffic Accident,Moderate,Ambulance
326,2025-06-20 20:33:37,9,66,Fire,Moderate,Ambulance
327,2025-01-14 11:24:30,75,93,Traffic Accident,Moderate,Fire Truck
328,2025-06-09 07:31:58,75,0,Traffic Accident,Moderate,Ambulance
329,2025-07-25 00:57:45,36,46,Medical Emergency,Moderate,Police
330,2025-06-14 15:13:03,43,55,Fire,Low,Ambulance
331,2025-07-31 09:29:51,60,19,Traffic Accident,Critical,Fire Truck
332,2025-01-18 20:07:13,19,25,Traffic Accident,Critical,Ambulance
333,2025-03-12 03:52:48,58,68,Traffic Accident,Moderate,Fire Truck
334,2025-03-31 20:13:14,19,52,Fire,Moderate,Ambulance
335,2025-07-20 04:58:20,88,49,Other,Moderate,Ambulance
336,2025-01-07 00:09:47,42,49,Traffic Accident,Moderate,Ambulance
337,2025-01-31 07:52:32,44,51,Medical Emergency,Moderate,Fire Truck
338,2025-04-08 22:06:22,84,0,Medical Emergency,Critical,Ambulance
339,2025-02-26 02:42:46,85,46,Medical Emergency,Low,Mixed
340,2025-01-10 08:21:36,73,29,Fire,Moderate,Police
341,2025-07-08 09:25:00,75,90,Other,Moderate,Fire Truck
342,2025-09-03 12:35:23,18,30,Medical Emergency,Moderate,Fire Truck
343,2025-03-09 10:22:01,89,61,Medical Emergency,Low,Ambulance
344,2025-03-24 07:39:52,72,32,Fire,Low,Police
345,2025-05-17 21:28:33,76,30,Medical Emergency,Low,Ambulance
346,2025-09-04 04:53:31,3,18,Medical Emergency,Low,Police
347,2025-02-27 02:00:12,82,74,Traffic Accident,Moderate,Fire Truck
348,2025-09-09 04:07:06,84,14,Medical Emergency,Moderate,Fire Truck
349,2025-04-14 12:53:44,18,59,Fire,Moderate,Fire Truck
350,2025-03-16 00:40:46,34,43,Traffic Accident,Moderate,Ambulance
351,2025-06-16 09:05:52,77,73,Medical Emergency,Moderate,Fire Truck
352,2025-04-20 19:22:14,71,47,Medical Emergency,Low,Police
353,2025-08-20 01:27:14,24,11,Traffic Accident,Moderate,Ambulance
354,2025-05-25 18:58:35,99,14,Traffic Accident,Moderate,Police
355,2025-06-04 17:20:18,42,20,Traffic Accident,Critical,Fire Truck
356,2025-06-03 01:12:29,14,24,Medical Emergency,Moderate,Ambulance
357,2025-04-05 11:31:40,12,85,Traffic Accident,Critical,Fire Truck
358,2025-06-20 02:16:26,51,26,Other,Moderate,Fire Truck
359,2025-05-05 10:10:08,35,29,Medical Emergency,Moderate,Ambulance
360,2025-07-21 04:37:46,88,93,Traffic Accident,Moderate,Ambulance
361,2025-07-13 17:39:31,12,30,Medical Emergency,Critical,Fire Truck
362,2025-05-25 21:16:17,41,55,Other,Moderate,Police
363,2025-04-19 18:09:16,0,43,Traffic Accident,Moderate,Mixed
364,2025-05-12 14:31:41,21,20,Medical Emergency,Moderate,Ambulance
365,2025-08-22 10:00:22,9,87,Fire,Low,Mixed
366,2025-03-01 03:00:42,79,48,Traffic Accident,Low,Ambulance
367,2025-08-21 09:33:59,18,99,Fire,Moderate,Ambulance
368,2025-06-29 21:13:25,35,73,Fire,Moderate,Ambulance
369,2025-05-21 04:46:30,98,97,Fire,Moderate,Ambulance
370,2025-05-05 03:38:17,36,14,Traffic Accident,Moderate,Fire Truck
371,2025-04-15 13:31:22,72,77,Medical Emergency,Critical,Ambulance
372,2025-04-22 15:03:05,63,34,Fire,Moderate,Ambulance
373,2025-07-12 23:50:57,38,40,Medical Emergency,Low,Ambulance
374,2025-08-28 02:01:11,18,67,Medical Emergency,Moderate,Ambulance
375,2025-03-17 00:53:09,35,96,Fire,Moderate,Ambulance
376,2025-08-03 03:12:06,69,40,Medical Emergency,Moderate,Police
377,2025-08-05 09:07:55,59,4,Traffic Accident,Moderate,Ambulance
378,2025-01-17 13:07:10,71,49,Medical Emergency,Moderate,Ambulance
379,2025-08-23 16:54:48,85,69,Traffic Accident,Moderate,Ambulance
380,2025-06-13 07:39:49,34,97,Fire,Moderate,Fire Truck
381,2025-05-14 04:30:34,57,35,Other,Moderate,Police
382,2025-08-02 20:01:37,54,79,Fire,Moderate,Police
383,2025-01-18 09:13:52,11,16,Traffic Accident,Low,Ambulance
384,2025-03-15 22:33:32,29,22,Traffic Accident,Critical,Mixed
385,2025-09-13 09:03:35,64,29,Fire,Moderate,Ambulance
386,2025-02-22 15:47:04,31,32,Medical Emergency,Moderate,Ambulance
387,2025-07-20 21:59:38,13,35,Traffic Accident,Moderate,Ambulance
388,2025-02-04 16:46:57,84,1,Other,Moderate,Ambulance
389,2025-08-26 21:57:15,51,61,Fire,Moderate,Fire Truck
390,2025-02-26 04:47:38,34,21,Fire,Low,Police
391,2025-04-08 05:33:53,11,48,Traffic Accident,Low,Ambulance
392,2025-08-03 20:07:54,87,29,Medical Emergency,Critical,Ambulance
